sample_id	health_status	host_disease	health_state	sample_desc	experiment_type	investigation_type	host_status	host_condition	clinical_status	phenotype	biome	env_material	env_feature
ERS1037459	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037350	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037352	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037353	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037354	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037355	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037357	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037330	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037351	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037450	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037451	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037452	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037453	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037318	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037416	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037454	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037456	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037457	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037507	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037508	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037500	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037501	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037502	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037503	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
ERS1037504	Non-healthy			Assessment of Bacterial DNA Extraction Procedures for Metagenomic Sequencing Evaluated on Different Environmental Matrices.									
